"COMPANY"|"PLANT"|"MASTER_TYPE"|"LOCAL_CODE"|"MEMO"|"DUNS_NUM"|"SCORE_PERCENTILE"|"AVE_ALL"|"AVE_WITHIN_A_TYPE_OF_INDUSTRY"|"OOB_RATE"|"BANKRUPT_PERCENTILE"|"RAW_SCORE"|"RISK_SCORE_CLASS"|"CALCDATE"|"NEW_REASON_CD_SIGN_1"|"NEW_REASON_CD_SIGN_NM_1"|"NEW_REASON_CD_SIGN_2"|"NEW_REASON_CD_SIGN_NM_2"|"NEW_REASON_CD_SIGN_3"|"NEW_REASON_CD_SIGN_NM_3"|"NEW_REASON_CD_SIGN_4"|"NEW_REASON_CD_SIGN_NM_4"|"NEW_REASON_CD_SIGN_5"|"NEW_REASON_CD_SIGN_NM_5"|"REGISTERED_ADDR_INDICATOR"|"CITY_NM"|"STATE_PROV_NM"|"COUNTRY_NM"|"CITY_CD"|"COUNTY_CD"|"STATE_PROV_CD"|"STATE_PROV_ABBR"|"COUNTRY_CD"|"COUNTRY_CD_ISO2"|"COUNTRY_CD_NM"|"POSTAL_CD_FOR_STREET_ADDR"|"CONTINENT_CD"|"CONTINENT_CD_NM"|"COUNTRY_TELEPHONE_ACCESS_CD"|"TELEPHONE_NUM"|"CABLE_TELEX"|"FAX_NUM"|"BUSINESS_NM"|"TRADESTYLE_SECONDARY_NM"|"STREET_ADDR"|"STREET_ADDR_2"|"CHIEF_EXECUTIVE_OFFICER_NM"|"CHIEF_EXECUTIVE_OFFICER_TITLE"|"MAIL_ADDR"|"MAIL_CITY_NM"|"MAIL_COUNTY_NM"|"MAIL_STATE_PROV_NM"|"MAIL_COUNTRY_NM"|"MAIL_CITY_CD"|"MAIL_COUNTY_CD"|"MAIL_STATE_PROV_CD"|"MAIL_STATE_PROV_ABBR"|"MAIL_COUNTRY_CD"|"MAIL_COUNTRY_CD_ISO2"|"MAIL_COUNTRY_CD_NM"|"POSTAL_CD_MAIL_ADDR"|"MAIL_CONTINENT_CD"|"MAIL_CONTINENT_CD_NM"|"NATIONAL_IDENTIFI_NUM"|"NATIONAL_IDENTIFI_SYS_CD"|"NATIONAL_IDENTIFI_SYS_CD_NM"|"YEAR_STARTED"|"ANNUAL_SALES_LOCAL"|"ANNUAL_SALES_INDICATOR"|"ANNUAL_SALES_INDICATOR_NM"|"ANNUAL_SALES_IN_US_DOLLARS"|"CURRENCY_CD"|"CURRENCY_CD_NM"|"EMPLOYEES_HERE"|"EMPLOYEES_HERE_INDICATOR"|"EMPLOYEES_HERE_INDICATOR_NM"|"EMPLOYEES_TOTAL"|"EMPLOYEES_TOTAL_INDICATOR"|"EMPLOYEES_TOTAL_INDICATOR_NM"|"INC_PRINCIPLES_INDICATOR"|"INC_PRINCIPLES_INDICATOR_NM"|"IMP_EXP_AGENT_INDICATOR"|"IMP_EXP_AGENT_INDICATOR_NM"|"LEGAL_STATUS"|"LEGAL_STATUS_NM"|"CONTROL_INDICATOR"|"STATUS_CD"|"STATUS_CD_NM"|"SUBSIDIARY_CD"|"SUBSIDIARY_CD_NM"|"PREVIOUS_DUNS_NUM"|"REPORT_DATE"|"MARKETABLE_FLAG"|"GL_ULTI_INDICATOR"|"STOP_DISTRIBUTION_FLAG"|"NUM_OF_FAMILY_MEMBERS"|"DIAS_CD"|"HIERARCHY_CD"|"FAMILY_UPDATE_DATE"|"INACTIVE_FLAG"|"INACTIVE_FLAG_NM"|"LINE_OF_BUSINESS"|"US_1987_SIC_1"|"US_1987_SIC_NM_1"|"US_1987_SIC_2"|"US_1987_SIC_NM_2"|"US_1987_SIC_3"|"US_1987_SIC_NM_3"|"US_1987_SIC_4"|"US_1987_SIC_NM_4"|"US_1987_SIC_5"|"US_1987_SIC_NM_5"|"US_1987_SIC_6"|"US_1987_SIC_NM_6"|"PRIMARY_LOCAL_ACTIVITY_CD"|"ACTIVITY_INDICATOR"|"ACTIVITY_INDICATOR_NM"|"PREFECTURE_JAPANESE"|"CITY_JAPANESE"|"BUSINESS_NM_JAPANESE"|"BUSINESS_NM_KANA"|"STREET_ADDR1_JAPANESE"|"STREET_ADDR2_JAPANESE"|"CEO_NM_JAPANESE"|"HQ_PARENT_DUNS_NUM"|"HQ_PARENT_CITY"|"HQ_PARENT_STATE_PROV"|"HQ_PARENT_COUNTRY_NM"|"HQ_PARENT_CITY_CD"|"HQ_PARENT_COUNTY_CD"|"HQ_PARENT_STATE_PROV_ABBR"|"HQ_PARENT_COUNTRY_CD"|"HQ_PARENT_COUNTRY_CD_ISO2"|"HQ_PARENT_COUNTRY_CDNM"|"HQ_PARENT_POSTAL_CD"|"HQ_PARENT_CONTINENT_CD"|"HQ_PARENT_CONTINENT_CD_NM"|"HQ_PARENT_BUSINESS_NM"|"HQ_PARENT_STREET_ADDR"|"DOMESTIC_ULTI_DUNS_NUM"|"DOMESTIC_ULTI_CITY_NM"|"DOMESTIC_ULTI_STATE_PROV_NM"|"DOMESTIC_ULTI_CITY_CD"|"DOMESTIC_ULTI_COUNTRY_CD_ISO2"|"DOMESTIC_ULTI_COUNTRY_CD"|"DOMESTIC_ULTI_COUNTRY_CD_NM"|"DOMESTIC_ULTI_STATE_ABBR"|"DOMESTIC_ULTI_POSTAL_CD"|"DOMESTIC_ULTI_BUSINESS_NM"|"DOMESTIC_ULTI_STREET_ADDR"|"GL_ULTI_DUNS_NUM"|"GL_ULTI_CITY_NM"|"GL_ULTI_STATE_PROV"|"GL_ULTI_COUNTRY_NM"|"GL_ULTI_CITY_CD"|"GL_ULTI_COUNTY_CD"|"GL_ULTI_STATE_PROV_ABBR"|"GL_ULTI_COUNTRY_CD"|"GL_ULTI_COUNTRY_CD_ISO2"|"GL_ULTI_COUNTRY_CD_NM"|"GL_ULTI_POSTAL_CD"|"GL_ULTI_CONTINENT_CD"|"GL_ULTI_CONTINENT_CD_NM"|"GL_ULTI_NM"|"GL_ULTI_STREET_ADDR"
"InvenSense"|"INS"|"Orbweaver"|"101780"|""|"064112199"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"N"|"ANN ARBOR"|"MICHIGAN"|"USA"|"000397"|"929"|"043"|"MI"|"805"|"US"|"USA"|"481041067"|"6"|"North America"|"0001"|"8886110131"|"222NMNNANP"|""|"BIOVIGIL HYGIENE TECHNOLOGIES, LLC"|""|"924 N MAIN ST STE 2"|""|"KEVIN WITTRUP"|"MANAGING DIRECTOR"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"2011"|"2533722"|"3"|"modeled"|"2533722"|"0020"|"U.S. Dollar"|"20"|"0"|"actual"|"20"|"0"|"actual"|"Y"|"included"|"G"|"Not available or none"|"003"|"corporation"|""|"0"|"SL"|"0"|"Not a subsidiary"|""|"20220305"|"M"|""|""|""|""|""|""|"N"|"Active"|"COMPUTER INTEGRATED SYSTEMS DESIGN"|"7373"|"COMPUTER INTEGRATED SYSTEMS DESIGN/???????????????"|""|""|""|""|""|""|""|""|""|""|""|"000"|"Unclear"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"InvenSense"|"INS"|"Orbweaver"|"65510"|""|"962960589"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"N"|"CEDAR RAPIDS"|"IOWA"|"USA"|"001557"|"569"|"029"|"IA"|"805"|"US"|"USA"|"524980505"|"6"|"North America"|"0001"|"3192951000"|"122NMNNANP"|""|"ROCKWELL COLLINS, INC."|"ROCKWELL COLLINS"|"400 COLLINS RD NE"|""|"KELLY ORTBERG"|"CHIEF EXECUTIVE OFFICER"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"2018"|"8665000000"|"0"|"actual"|"8665000000"|"0020"|"U.S. Dollar"|"1781"|"3"|"modeled"|"70000"|"0"|"actual"|"Y"|"included"|"B"|"Imports and Exports"|"003"|"corporation"|""|"1"|"HQ"|"3"|"Is a subsidiary"|""|"20221008"|"M"|"N"|"00"|"1523"|"023830919"|"02"|""|"N"|"Active"|"AIRCRAFT PARTS & EQUIPMENT, NEC"|"3728"|"AIRCRAFT PARTS & EQUIPMENT, NEC/???????????????"|"3812"|"SEARCH & NAVIGATION EQUIPMENT/????????????"|"3663"|"RADIO & T.V. COMMUNICATIONS EQUIPMENT/????????????????"|""|""|""|""|""|""|""|"000"|"Unclear"|""|""|""|""|""|""|""|"001344142"|"ARLINGTON"|"VIRGINIA"|"USA"|"000407"|"063"|"VA"|"805"|"US"|"USA"|"22209"|"6"|"North America"|"RAYTHEON TECHNOLOGIES CORPORATION"|"1000 WLSON BLVD ARLNGTON ARLINGTON VA"|"001344142"|"ARLINGTON"|"VIRGINIA"|"000407"|"US"|"805"|"USA"|"VA"|"22209"|"RAYTHEON TECHNOLOGIES CORPORATION"|"1000 WLSON BLVD ARLNGTON ARLINGTON VA"|"001344142"|"ARLINGTON"|"VIRGINIA"|"USA"|"000407"|"063"|"VA"|"805"|"US"|"USA"|"22209"|"6"|"North America"|"RAYTHEON TECHNOLOGIES CORPORATION"|"1000 WLSON BLVD ARLNGTON ARLINGTON VA"
"InvenSense"|"INS"|"Orbweaver"|"125622"|""|"079869619"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"N"|"SAN DIEGO"|"CALIFORNIA"|"USA"|"007121"|"620"|"009"|"CA"|"805"|"US"|"USA"|"921013357"|"6"|"North America"|"0001"|"6197195740"|"122NMNNANP"|""|"AI SHIELD INC"|""|"600 W BROADWAY STE 250"|""|"RYAN TSENG"|"CHIEF EXECUTIVE OFFICER"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"2015"|"35251350"|"3"|"modeled"|"35251350"|"0020"|"U.S. Dollar"|"23"|"3"|"modeled"|"130"|"0"|"actual"|"Y"|"included"|"G"|"Not available or none"|"003"|"corporation"|""|"1"|"HQ"|"0"|"Not a subsidiary"|""|"20220506"|"M"|"Y"|"00"|"4"|"023130978"|"01"|""|"N"|"Active"|"PREPACKAGED SOFTWARE"|"7372"|"PREPACKAGED SOFTWARE/???????????????"|""|""|""|""|""|""|""|""|""|""|""|"000"|"Unclear"|""|""|""|""|""|""|""|"079869619"|"SAN DIEGO"|"CALIFORNIA"|"USA"|"007121"|"620"|"CA"|"805"|"US"|"USA"|"921013357"|"6"|"North America"|"AI SHIELD INC"|"600 W BROADWAY STE 250"|"079869619"|"SAN DIEGO"|"CALIFORNIA"|"007121"|"US"|"805"|"USA"|"CA"|"921013357"|"AI SHIELD INC"|"600 W BROADWAY STE 250"|"079869619"|"SAN DIEGO"|"CALIFORNIA"|"USA"|"007121"|"620"|"CA"|"805"|"US"|"USA"|"921013357"|"6"|"North America"|"AI SHIELD INC"|"600 W BROADWAY STE 250"
"InvenSense"|"INS"|"Orbweaver"|"116572"|""|"128088293"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"N"|"ESCONDIDO"|"CALIFORNIA"|"USA"|"002705"|"620"|"009"|"CA"|"805"|"US"|"USA"|"920254998"|"6"|"North America"|"0001"|"8589227702"|"122NNNNANP"|""|"PIXCELLENCE, INC."|""|"312 S JUNIPER ST STE 201"|""|"PAUL SETON"|"ADMINISTRATOR"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"2019"|"182749"|"3"|"modeled"|"182749"|"0020"|"U.S. Dollar"|"5"|"3"|"modeled"|"5"|"3"|"modeled"|"N"|"not included"|"G"|"Not available or none"|"000"|"????"|""|"0"|"SL"|"0"|"Not a subsidiary"|""|"20220305"|"N"|""|""|""|""|""|""|"N"|"Active"|"NONCLASSIFIABLE ESTABLISHMENTS"|"9999"|"NONCLASSIFIABLE ESTABLISHMENTS/??????"|""|""|""|""|""|""|""|""|""|""|""|"000"|"Unclear"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"InvenSense"|"INS"|"Orbweaver"|"230614"|""|"078784082"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"N"|"TULSA"|"OKLAHOMA"|"USA"|"008923"|"884"|"071"|"OK"|"805"|"US"|"USA"|"741466006"|"6"|"North America"|"0001"|"9183174100"|"322NMNNANP"|""|"ENOVATION CONTROLS, LLC"|""|"5311 S 122ND EAST AVE"|""|"JINGER MCPEAK"|"PRESIDENT"|"P.O. BOX 470248"|"TULSA"|"TULSA"|"OKLAHOMA"|"USA"|"008923"|"884"|"071"|"OK"|"805"|"US"|"USA"|"741470248"|"6"|"North America"|""|""|""|"2016"|"110382010"|"3"|"modeled"|"110382010"|"0020"|"U.S. Dollar"|"327"|"0"|"actual"|"775"|"0"|"actual"|"Y"|"included"|"C"|"Imports"|"003"|"corporation"|""|"1"|"HQ"|"3"|"Is a subsidiary"|""|"20220804"|"M"|"N"|"00"|"48"|"023127831"|"02"|""|"N"|"Active"|"MOTOR VEHICLE PARTS & ACCESSORIES"|"3714"|"MOTOR VEHICLE PARTS & ACCESSORIES/????????????"|"3625"|"RELAYS & INDUSTRIAL CONTROLS/??????????????"|"3694"|"ENGINE ELECTRICAL EQUIPMENT/??????????"|"8711"|"ENGINEERING SERVICES/???????"|""|""|""|""|""|"000"|"Unclear"|""|""|""|""|""|""|""|"052599727"|"SARASOTA"|"FLORIDA"|"USA"|"008254"|"598"|"FL"|"805"|"US"|"USA"|"342436800"|"6"|"North America"|"HELIOS TECHNOLOGIES, INC."|"7456 16TH ST E"|"052599727"|"SARASOTA"|"FLORIDA"|"008254"|"US"|"805"|"USA"|"FL"|"342436800"|"HELIOS TECHNOLOGIES, INC."|"7456 16TH ST E"|"052599727"|"SARASOTA"|"FLORIDA"|"USA"|"008254"|"598"|"FL"|"805"|"US"|"USA"|"342436800"|"6"|"North America"|"HELIOS TECHNOLOGIES, INC."|"7456 16TH ST E"
"InvenSense"|"INS"|"Orbweaver"|"115545"|""|"116880102"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"N"|"LOS ANGELES"|"CALIFORNIA"|"USA"|"004661"|"332"|"009"|"CA"|"805"|"US"|"USA"|"900131010"|"6"|"North America"|"0001"|"9193028768"|"322NMNNANP"|""|"WORKERSENSE, INC."|""|"555 W 5TH ST FL 35"|""|"CANYON DELLONO"|"CHIEF EXECUTIVE OFFICER"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"2018"|"355040"|"3"|"modeled"|"355040"|"0020"|"U.S. Dollar"|"2"|"0"|"actual"|"2"|"0"|"actual"|"Y"|"included"|"G"|"Not available or none"|"003"|"corporation"|""|"0"|"SL"|"0"|"Not a subsidiary"|""|"20220409"|"M"|""|""|""|""|""|""|"N"|"Active"|"PREPACKAGED SOFTWARE"|"7372"|"PREPACKAGED SOFTWARE/???????????????"|""|""|""|""|""|""|""|""|""|""|""|"000"|"Unclear"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"InvenSense"|"INS"|"Orbweaver"|"236655"|""|"009074998"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"N"|"SALT LAKE CITY"|"UTAH"|"USA"|"007757"|"562"|"087"|"UT"|"805"|"US"|"USA"|"841044947"|"6"|"North America"|"0001"|"8019737500"|"321NMNNANP"|""|"WON-DOOR CORPORATION"|""|"1865 S 3480 W"|""|"KELLY TERRY"|"CEO"|"P.O. BOX 27484"|"SALT LAKE CITY"|"SALT LAKE"|"UTAH"|"USA"|"007757"|"562"|"087"|"UT"|"805"|"US"|"USA"|"841270484"|"6"|"North America"|""|""|""|"2019"|"1290792"|"2"|"estimated or not available if sales value is zero"|"1290792"|"0020"|"U.S. Dollar"|"85"|"0"|"actual"|"170"|"0"|"actual"|"Y"|"included"|"G"|"Not available or none"|"003"|"corporation"|""|"1"|"HQ"|"3"|"Is a subsidiary"|""|"20221007"|"M"|"N"|"00"|"422"|"030022533"|"04"|""|"N"|"Active"|"METAL DOORS, SASH, & TRIM"|"3442"|"METAL DOORS, SASH, & TRIM/????????????"|""|""|""|""|""|""|""|""|""|""|""|"000"|"Unclear"|""|""|""|""|""|""|""|"007503592"|"LEWISVILLE"|"TEXAS"|"USA"|"004805"|"279"|"TX"|"805"|"US"|"USA"|"75067"|"6"|"North America"|"OVERHEAD DOOR CORPORATION"|"2501 S STATE HWY 121 STE"|"961172848"|"PLANO"|"TEXAS"|"006621"|"US"|"805"|"USA"|"TX"|"750937350"|"SANWA USA, INC."|"4012 PRESTON RD STE 200"|"690570296"|"SHINJUKU-KU"|"TOKYO"|"JAPAN"|"004067"|"000"|"TKY"|"369"|"JP"|"JAPAN"|"1600023"|"2"|"Asia Pacific"|"SANWA HOLDINGS CORPORATION"|"2-1-1, NISHISHINJUKU"
"InvenSense"|"INS"|"Orbweaver"|"128652"|""|"005086491"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"N"|"OKLAHOMA CITY"|"OKLAHOMA"|"USA"|"006667"|"680"|"071"|"OK"|"805"|"US"|"USA"|"731316114"|"6"|"North America"|"0001"|"4054755600"|"322NMNNANP"|""|"CFS BRANDS, LLC"|"CARLISLE FOODSERVICE PRODUCTS"|"4711 E HEFNER RD"|""|"TRENT FREIBERG"|"PRESIDENT"|"P.O. BOX 53006"|"OKLAHOMA CITY"|"OKLAHOMA"|"OKLAHOMA"|"USA"|"006667"|"680"|"071"|"OK"|"805"|"US"|"USA"|"731523006"|"6"|"North America"|""|""|""|"2018"|"370017489"|"3"|"modeled"|"370017489"|"0020"|"U.S. Dollar"|"290"|"0"|"actual"|"778"|"0"|"actual"|"Y"|"included"|"B"|"Imports and Exports"|"003"|"corporation"|""|"1"|"HQ"|"3"|"Is a subsidiary"|""|"20220804"|"M"|"N"|"00"|"22"|"019948148"|"02"|""|"N"|"Active"|"HOMEFURNISHINGS"|"5023"|"HOMEFURNISHINGS/???????"|"2392"|"HOUSEHOLD FURNISHINGS, NEC/??????????????"|""|""|""|""|""|""|""|""|""|"000"|"Unclear"|""|""|""|""|""|""|""|"117254653"|"OKLAHOMA CITY"|"OKLAHOMA"|"USA"|"006667"|"680"|"OK"|"805"|"US"|"USA"|"731316114"|"6"|"North America"|"CFSP ACQUISITION CORP."|"4711 E HEFNER RD"|"117254653"|"OKLAHOMA CITY"|"OKLAHOMA"|"006667"|"US"|"805"|"USA"|"OK"|"731316114"|"CFSP ACQUISITION CORP."|"4711 E HEFNER RD"|"117254653"|"OKLAHOMA CITY"|"OKLAHOMA"|"USA"|"006667"|"680"|"OK"|"805"|"US"|"USA"|"731316114"|"6"|"North America"|"CFSP ACQUISITION CORP."|"4711 E HEFNER RD"
"InvenSense"|"INS"|"Orbweaver"|"124620"|""|"117366084"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"N"|"LOS ANGELES"|"CALIFORNIA"|"USA"|"004661"|"332"|"009"|"CA"|"805"|"US"|"USA"|"900172580"|"6"|"North America"|"0001"|"6144046367"|"322NMNNANP"|""|"RIVIEH, INC."|""|"1050 INGRAHAM ST APT 240"|""|"MUSTAFA HOMSI"|"CHIEF EXECUTIVE OFFICER"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"2018"|"27976"|"3"|"modeled"|"27976"|"0020"|"U.S. Dollar"|"1"|"0"|"actual"|"1"|"0"|"actual"|"Y"|"included"|"G"|"Not available or none"|"003"|"corporation"|""|"0"|"SL"|"0"|"Not a subsidiary"|""|"20220604"|"M"|""|""|""|""|""|""|"N"|"Active"|"COMMERCIAL NONPHYSICAL RESEARCH"|"8732"|"COMMERCIAL NONPHYSICAL RESEARCH/???????????"|""|""|""|""|""|""|""|""|""|""|""|"000"|"Unclear"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"InvenSense"|"INS"|"Orbweaver"|"16557"|""|"112465775"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"N"|"LITTLETON"|"COLORADO"|"USA"|"005459"|"290"|"011"|"CO"|"805"|"US"|"USA"|"801259317"|"6"|"North America"|""|""|"122NNNNANP"|""|"EMX ROYALTY CORPORATION"|""|"10001 W TITAN RD"|""|"BRIAN LEVET"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"2018"|"837609"|"3"|"modeled"|"837609"|"0020"|"U.S. Dollar"|"9"|"3"|"modeled"|"9"|"3"|"modeled"|"N"|"not included"|"G"|"Not available or none"|"000"|"????"|""|"0"|"SL"|"0"|"Not a subsidiary"|""|"20220708"|"N"|""|""|""|""|""|""|"N"|"Active"|"OIL & GAS EXPLORATION SERVICES"|"1382"|"OIL & GAS EXPLORATION SERVICES/?????????"|""|""|""|""|""|""|""|""|""|""|""|"000"|"Unclear"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
